"filename", "language", "Ignore", "JSON", "Database", "Dockerfile", "MSBuild", "C#", "JSON with Comments", "comment", "blank", "total"
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\.dockerignore", "Ignore", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Bot.cs", "C#", 0, 0, 0, 0, 0, 87, 0, 1, 18, 106
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Commands\DebugCommands.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Commands\InfoCommands.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 1, 5, 37
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Commands\LobbyCommands.cs", "C#", 0, 0, 0, 0, 0, 73, 0, 4, 10, 87
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Commands\ReportCommands.cs", "C#", 0, 0, 0, 0, 0, 130, 0, 6, 39, 175
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Commands\SmashfestCommands.cs", "C#", 0, 0, 0, 0, 0, 165, 0, 1, 43, 209
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Commands\TimerCommands.cs", "C#", 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Commands\UtilsCommands.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Extensions\CommandInteractivityExtensions.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 6, 5, 26
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Extensions\DiscordInteractivityPredicate.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 0, 2, 33
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Extensions\DiscordInteractivityPredicateBuilder.cs", "C#", 0, 0, 0, 0, 0, 44, 0, 0, 8, 52
"d:\Documentos\Trabajo\Gaymers\SmashBotUltimate\Bot\Models\BotConfig.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
